id,species_group,species_kr,species_en,species_sci,location_tag,total_records,valid_records,sampled_points,start_date,end_date,duration_days,total_distance_km,max_displacement_km,max_speed_kmh,avg_speed_kmh,min_lat,max_lat,min_lon,max_lon,migration_type
ke2409,swan,큰고니,Whooper Swan,Cygnus cygnus,을숙도,2658,1909,637,2024-12-17,2025-03-03,76.0,1060.5,736.5,83.0,2.6,35.0674,40.1765,123.56,128.9413,지역 수계 분산 (Regional Dispersal)
ke2410,swan,큰고니,Whooper Swan,Cygnus cygnus,을숙도,14634,14633,1220,2024-12-17,2026-04-29,498.0,6766.4,2137.7,130.0,1.9,35.0758,49.318,111.0832,128.9737,대륙간 장거리 철새 (Transcontinental)
ke2408,swan,큰고니,Whooper Swan,Cygnus cygnus,을숙도,3006,3006,1503,2024-12-17,2025-04-08,112.0,3142.1,1801.2,123.0,4.8,35.0612,48.6969,116.9871,128.9541,대륙간 장거리 철새 (Transcontinental)
ke2419,duck,청둥오리,Mallard,Anas platyrhynchos,을숙도,1745,1727,864,2024-12-19,2025-03-27,97.9,314.2,5.5,71.0,0.3,35.0514,35.1394,128.9309,128.9583,국지적 텃새 (Local Resident)
ke2416,duck,흰뺨검둥오리,Spot-billed Duck,Anas zonorhyncha,대저생태공원,170,168,168,2024-12-18,2024-12-26,8.1,23.2,7.6,7.0,0.3,35.0767,35.1434,128.9333,128.9504,국지적 텃새 (Local Resident)
ke2414,duck,청둥오리,Mallard,Anas platyrhynchos,대저생태공원,529,521,521,2024-12-18,2025-02-02,45.8,184.0,13.2,79.0,0.9,35.0946,35.2577,128.9354,129.0532,국지적 텃새 (Local Resident)
ke2413,duck,청둥오리,Mallard,Anas platyrhynchos,대저생태공원,189,189,189,2024-12-18,2024-12-26,7.8,19.5,7.0,3.0,0.2,35.0946,35.1624,128.9394,128.9657,국지적 텃새 (Local Resident)
ke2418,duck,청둥오리,Mallard,Anas platyrhynchos,을숙도,754,746,746,2024-12-19,2025-03-22,93.0,259.6,12.9,76.0,0.4,35.0662,35.2073,128.8398,128.9665,국지적 텃새 (Local Resident)
ke2415,duck,흰뺨검둥오리,Spot-billed Duck,Anas zonorhyncha,대저생태공원,1090,1087,1087,2024-12-18,2025-02-26,69.8,275.2,23.1,108.0,0.4,35.0865,35.2664,128.7307,129.0112,국지적 텃새 (Local Resident)
ke2417,duck,청둥오리,Mallard,Anas platyrhynchos,을숙도,1835,1832,611,2024-12-19,2025-04-10,112.0,938.5,288.2,98.0,0.7,35.0903,37.5797,127.9813,128.9695,지역 수계 분산 (Regional Dispersal)
ke2420,duck,청둥오리,Mallard,Anas platyrhynchos,을숙도,602,599,599,2024-12-19,2025-03-31,102.0,95.6,5.3,18.0,0.1,35.0835,35.1378,128.9366,128.9542,국지적 텃새 (Local Resident)
